Obs. No. ,Duration,History,Education,Amount of credit ,Saving Acct,Employment,Install_rate,Male_married,Gurantor,Resident,Real Estate,Age,Other installment,Rent,Job,Number of Dependents,Response
76,12,4,0,1526,0,4,4,0,0,4,0,66,0,0,3,1,1
77,42,2,0,3965,0,1,4,0,0,3,0,34,0,0,2,1,0
78,11,3,0,4771,0,3,2,0,0,4,0,51,0,0,2,1,1
79,54,0,0,9436,4,2,2,0,0,2,0,39,0,0,1,2,1
80,30,2,0,3832,0,1,2,1,0,1,0,22,0,0,2,1,1
81,24,2,0,5943,4,1,1,0,0,1,0,44,0,0,2,1,0
82,15,2,0,1213,2,4,4,0,0,3,0,47,1,0,2,1,1
83,18,2,0,1568,1,2,3,0,0,4,0,24,0,1,1,1,1
84,24,2,0,1755,0,4,4,0,1,4,1,58,0,0,1,1,1
85,10,2,0,2315,0,4,3,0,0,4,1,52,0,0,1,1,1
86,12,4,0,1412,0,2,4,0,1,2,1,29,0,0,3,1,1
87,18,4,0,1295,0,1,4,0,0,1,0,27,0,0,2,1,1
88,36,2,1,12612,1,2,1,0,0,4,0,47,0,0,2,2,0
89,18,2,0,2249,1,3,4,0,0,3,0,30,0,0,3,2,1
90,12,0,0,1108,0,3,4,0,0,3,1,28,0,0,2,1,0
91,12,4,0,618,0,4,4,0,0,4,1,56,0,0,2,1,1
92,12,4,0,1409,0,4,4,0,0,3,1,54,0,0,2,1,1
93,12,4,0,797,4,4,4,0,0,3,0,33,1,0,1,2,0
94,24,4,0,3617,4,4,4,0,0,4,0,20,0,1,2,1,1
95,12,2,0,1318,3,4,4,0,0,4,1,54,0,0,2,1,1
96,54,0,0,15945,0,1,3,0,0,4,0,58,0,1,2,1,0
97,12,4,1,2012,4,3,4,0,0,2,0,61,0,0,2,1,1
98,18,2,0,2622,1,2,4,0,0,4,0,34,0,0,2,1,1
99,36,4,0,2337,0,4,4,0,0,4,1,36,0,0,2,1,1
100,20,3,0,7057,4,3,3,0,0,4,0,36,1,1,3,2,1
101,24,2,0,1469,1,4,4,1,0,4,1,41,0,1,1,1,1
102,36,2,0,2323,0,3,4,0,0,4,0,24,0,1,2,1,1
103,6,3,0,932,0,2,3,0,0,2,1,24,0,0,2,1,1
104,9,4,0,1919,0,3,4,0,0,3,0,35,0,1,2,1,1
105,12,2,0,2445,4,1,2,1,0,4,0,26,0,1,2,1,1
106,24,4,0,11938,0,2,2,0,0,3,0,39,0,0,3,2,0
107,18,1,0,6458,0,4,2,0,0,4,0,39,1,0,3,2,0
108,12,2,0,6078,0,3,2,0,0,2,0,32,0,0,2,1,1
109,24,2,0,7721,4,1,1,0,0,2,0,30,0,0,2,1,1
110,14,2,0,1410,2,4,1,1,0,2,1,35,0,0,2,1,1
111,6,3,0,1449,1,4,1,0,0,2,0,31,1,0,2,2,1
112,15,2,1,392,0,1,4,0,0,4,0,23,0,1,2,1,1
113,18,2,0,6260,0,3,3,0,0,3,1,28,0,1,1,1,1
114,36,4,0,7855,0,2,4,0,0,2,1,25,1,0,2,1,0
115,12,2,0,1680,2,4,3,1,0,1,1,35,0,0,2,1,1
116,48,4,0,3578,4,4,4,0,0,1,1,47,0,0,2,1,1
117,42,2,0,7174,4,3,4,0,0,3,0,30,0,0,3,1,0
118,10,4,0,2132,4,1,2,0,0,3,1,27,0,1,2,1,1
119,33,4,0,4281,2,2,1,0,0,4,0,23,0,0,2,1,0
120,12,4,0,2366,2,3,3,0,0,3,0,36,0,0,3,1,1
121,21,2,0,1835,0,2,3,0,0,2,1,25,0,0,2,1,0
122,24,4,0,3868,0,4,4,0,0,2,0,41,0,1,3,1,1
123,12,2,0,1768,0,2,3,0,0,2,1,24,0,1,1,1,1
124,10,4,0,781,0,4,4,0,0,4,0,63,0,0,2,1,1
125,18,2,0,1924,4,1,4,0,0,3,1,27,0,1,2,1,0
126,12,4,0,2121,0,2,4,0,0,2,0,30,0,0,2,1,1
127,12,2,0,701,0,2,4,1,0,2,1,40,0,0,1,1,1
128,12,2,0,639,0,2,4,0,0,2,0,30,0,0,2,1,0
129,12,4,0,1860,0,0,4,0,0,2,0,34,0,0,3,1,1
130,12,4,0,3499,0,2,3,0,0,2,1,29,0,0,2,1,0
131,48,2,0,8487,4,3,1,0,0,2,0,24,0,0,2,1,1
132,36,3,1,6887,0,2,4,0,0,3,0,29,1,0,2,1,0
133,15,2,0,2708,0,1,2,0,0,3,0,27,1,0,1,1,1
134,18,2,0,1984,0,2,4,0,0,4,0,47,1,0,2,1,1
135,60,2,0,10144,1,3,2,0,0,4,1,21,0,0,2,1,1
136,12,4,0,1240,4,4,4,0,0,2,1,38,0,0,2,1,1
137,27,3,0,8613,3,2,2,0,0,2,0,27,0,0,2,1,1
138,12,2,0,766,2,2,4,0,0,3,1,66,0,0,1,1,0
139,15,4,0,2728,4,3,4,0,1,2,1,35,1,0,2,1,1
140,12,2,0,1881,0,2,2,0,0,2,0,44,0,1,1,1,1
141,6,2,0,709,3,1,2,1,0,2,1,27,0,0,0,1,1
142,36,2,0,4795,0,1,4,0,0,1,0,30,0,0,3,1,1
143,27,2,0,3416,0,2,3,0,0,2,0,27,0,0,3,1,1
144,18,2,0,2462,0,2,2,0,0,2,0,22,0,0,2,1,0
145,21,4,0,2288,0,1,4,0,0,4,0,23,0,0,2,1,1
146,48,1,0,3566,1,3,4,0,0,2,0,30,0,0,2,1,1
147,6,4,0,860,0,4,1,0,0,4,0,39,0,0,2,1,1
148,12,4,0,682,1,3,4,0,0,3,0,51,0,0,2,1,1
149,36,4,0,5371,0,2,3,0,1,2,0,28,0,0,2,1,1
150,18,4,0,1582,3,4,4,0,0,4,0,46,0,0,2,1,1
151,6,2,0,1346,1,4,2,0,0,4,0,42,1,0,2,2,1
152,10,2,0,1924,0,2,1,0,0,4,0,38,0,0,2,1,1
153,36,2,0,5848,0,2,4,0,0,1,0,24,0,0,2,1,1
154,24,4,0,7758,3,4,2,0,0,4,0,29,0,1,2,1,1
155,24,3,0,6967,1,3,4,0,0,4,0,36,0,1,3,1,1
156,12,2,0,1282,0,2,2,0,0,4,0,20,0,1,2,1,0
157,9,4,0,1288,1,4,3,0,1,4,1,48,0,0,2,2,1
158,12,1,0,339,0,4,4,1,0,1,0,45,1,0,1,1,1
159,24,2,0,3512,1,3,2,0,0,3,0,38,1,0,2,1,1
160,6,4,0,1898,4,2,1,0,0,2,1,34,0,0,1,2,1
161,24,4,0,2872,1,4,3,0,0,4,1,36,0,0,2,2,1
162,18,4,0,1055,0,1,4,0,0,1,0,30,0,0,2,1,1
163,15,2,0,1262,2,3,4,0,0,3,0,36,0,0,2,1,1
164,10,2,0,7308,0,0,2,0,0,4,0,70,1,0,3,1,1
165,36,2,0,909,2,4,4,0,0,4,0,36,0,0,2,1,1
166,6,2,0,2978,2,2,1,0,0,2,0,32,0,0,2,1,1
167,18,2,0,1131,0,0,4,0,0,2,0,33,0,0,2,1,0
168,11,2,0,1577,3,1,4,0,0,1,1,20,0,0,2,1,1
169,24,2,0,3972,0,3,2,0,0,4,0,25,0,1,2,1,1
170,24,4,0,1935,0,4,4,0,0,4,1,31,0,0,2,1,0
171,15,0,0,950,0,4,4,0,0,3,0,33,0,1,2,2,0
172,12,2,0,763,0,2,4,0,0,1,1,26,0,0,2,1,1
173,24,3,0,2064,0,0,3,0,0,2,0,34,0,0,3,1,0
174,8,2,0,1414,0,2,4,0,1,2,1,33,0,0,2,1,1
175,21,3,1,3414,0,1,2,0,0,1,0,26,0,0,2,1,0
176,30,1,0,7485,4,0,4,0,0,1,1,53,1,0,3,1,0
177,12,2,0,2577,0,2,2,0,0,1,0,42,0,0,2,1,1
178,6,4,0,338,2,4,4,0,0,4,0,52,0,0,2,1,1
179,12,2,0,1963,0,3,4,0,0,2,0,31,0,1,3,2,1
180,21,4,0,571,0,4,4,0,0,4,1,65,0,0,2,1,1
181,36,3,0,9572,0,1,1,0,0,1,0,28,0,0,2,1,0
182,36,3,0,4455,0,2,2,0,0,2,1,30,1,0,3,1,0
183,21,1,0,1647,4,2,4,0,0,2,0,40,0,0,1,2,0
184,24,4,0,3777,3,2,4,0,0,4,1,50,0,0,2,1,1
185,18,4,0,884,0,4,4,0,0,4,0,36,1,0,2,2,0
186,15,4,0,1360,0,2,4,0,0,2,0,31,0,0,2,1,1
187,9,1,0,5129,0,4,2,0,0,4,0,74,1,0,3,2,0
188,16,4,0,1175,0,0,2,0,0,3,0,68,0,0,0,1,1
189,12,2,0,674,1,3,4,1,0,1,0,20,0,0,2,1,0
190,18,0,0,3244,0,2,1,0,0,4,0,33,1,0,2,1,1
191,24,2,0,4591,3,2,2,0,0,3,0,54,0,0,3,1,0
192,48,0,0,3844,1,3,4,0,0,4,0,34,0,0,1,2,0
193,27,2,0,3915,0,2,4,0,0,2,0,36,0,0,2,2,0
194,6,2,0,2108,0,3,2,1,0,2,1,29,0,1,2,1,1
195,45,2,0,3031,1,2,4,0,1,4,0,21,0,1,2,1,0
196,9,4,1,1501,0,4,2,0,0,3,0,34,0,0,3,1,0
197,6,4,0,1382,0,2,1,0,0,1,0,28,0,0,2,1,1
198,12,2,0,951,1,1,4,0,0,4,0,27,1,1,2,1,0
199,24,2,0,2760,4,4,4,0,0,4,0,36,1,0,2,1,1
200,18,3,0,4297,0,4,4,0,0,3,0,40,0,0,3,1,0
201,9,4,1,936,2,4,4,0,0,2,0,52,0,0,2,1,1
202,12,2,0,1168,0,2,4,1,0,3,1,27,0,0,1,1,1
203,27,3,0,5117,0,3,3,0,0,4,0,26,0,0,2,1,1
204,12,2,0,902,0,3,4,1,0,4,0,21,0,1,2,1,0
205,12,4,0,1495,0,4,4,0,0,1,1,38,0,0,1,2,1
206,30,4,0,10623,0,4,3,0,0,4,0,38,0,0,3,2,1
207,12,4,0,1935,0,4,4,0,0,4,1,43,0,0,2,1,1
208,12,4,0,1424,0,3,4,0,0,3,0,26,0,0,2,1,1
209,24,2,0,6568,0,2,2,1,0,2,0,21,1,0,1,1,1
210,12,2,0,1413,3,3,3,0,0,2,0,55,0,0,2,1,1
211,9,4,0,3074,4,2,1,0,0,2,1,33,0,0,2,2,1
212,36,2,0,3835,4,4,2,0,0,4,1,45,0,0,1,1,1
213,27,0,0,5293,0,0,2,0,0,4,0,50,1,0,2,1,0
214,30,3,0,1908,0,4,4,0,0,4,1,66,0,0,3,1,0
215,36,4,0,3342,4,4,4,0,0,2,0,51,0,0,2,1,1
216,6,4,0,932,4,3,1,0,0,3,0,39,0,0,1,1,1
217,18,0,0,3104,0,3,3,0,0,1,0,31,1,0,2,1,1
218,36,2,0,3913,0,2,2,0,0,2,1,23,0,0,2,1,1
219,24,2,0,3021,0,2,2,0,0,2,1,24,0,1,1,1,1
220,10,2,0,1364,0,2,2,0,0,4,0,64,0,0,2,1,1
221,12,2,0,625,0,1,4,1,1,1,1,26,1,0,1,1,1
222,12,2,1,1200,4,2,4,0,0,4,0,23,1,1,2,1,1
223,12,2,0,707,0,2,4,0,0,2,1,30,1,0,2,1,1
224,24,3,0,2978,4,2,4,0,0,4,1,32,0,0,2,2,1
225,15,2,0,4657,0,2,3,0,0,2,0,30,0,0,2,1,1
226,36,0,0,2613,0,2,4,0,0,2,0,27,0,0,2,1,1
227,48,2,0,10961,3,3,1,0,0,2,0,27,1,0,2,1,0
228,12,2,0,7865,0,4,4,0,0,4,0,53,0,0,3,1,0
229,9,2,0,1478,0,3,4,0,0,2,0,22,0,0,2,1,0
230,24,2,0,3149,0,1,4,0,0,1,0,22,1,0,2,1,1
231,36,2,0,4210,0,2,4,0,0,2,0,26,0,0,2,1,0
232,9,2,0,2507,2,4,2,0,0,4,0,51,0,0,1,1,1
233,12,2,0,2141,1,3,3,0,0,1,0,35,0,0,2,1,1
234,18,2,0,866,0,2,4,1,1,2,1,25,0,0,1,1,1
235,4,4,0,1544,0,3,2,0,0,1,1,42,0,0,1,2,1
236,24,2,0,1823,0,0,4,0,0,2,0,30,1,0,3,2,0
237,6,2,0,14555,4,0,1,0,0,2,0,23,0,0,0,1,0
238,21,2,0,2767,1,4,4,0,0,2,0,61,1,1,1,1,0
239,12,4,0,1291,0,2,4,0,0,2,0,35,0,0,2,1,1
240,30,2,0,2522,0,4,1,0,1,3,0,39,0,0,2,2,1
241,24,2,0,915,4,4,4,0,0,2,0,29,1,0,2,1,0
242,6,2,0,1595,0,3,3,0,0,2,0,51,0,0,2,2,1
243,48,0,0,4605,0,4,3,0,0,4,0,24,0,0,2,2,0
244,12,4,0,1185,0,2,3,0,0,2,1,27,0,0,2,1,1
245,12,1,0,3447,2,2,4,0,0,3,1,35,0,0,1,2,1
246,24,2,0,1258,0,3,4,0,0,1,1,25,0,0,2,1,1
247,12,4,0,717,0,4,4,0,0,4,1,52,0,0,2,1,1
248,6,0,0,1204,1,2,4,0,0,1,0,35,1,1,2,1,1
249,24,2,0,1925,0,2,2,0,0,2,1,26,0,0,2,1,1
250,18,2,0,433,0,0,3,0,0,4,1,22,0,1,2,1,0
251,6,4,0,666,3,3,3,0,0,4,1,39,0,0,1,1,1
252,12,2,0,2251,0,2,1,0,0,2,0,46,0,0,1,1,1
253,30,2,0,2150,0,2,4,0,1,2,0,24,1,0,2,1,0
254,24,3,0,4151,1,2,2,0,0,3,0,35,0,0,2,1,1
255,9,2,0,2030,4,3,2,0,0,1,0,24,0,0,2,1,1
256,60,3,0,7418,4,2,1,0,0,1,1,27,0,0,1,1,1
257,24,4,0,2684,0,2,4,0,0,2,1,35,0,0,1,1,1
258,12,1,0,2149,0,2,4,0,0,1,0,29,0,0,2,1,0
259,15,2,0,3812,1,1,1,0,0,4,0,23,0,0,2,1,1
260,11,4,0,1154,1,0,4,0,0,4,1,57,0,0,1,1,1
261,12,2,0,1657,0,2,2,0,0,2,1,27,0,0,2,1,1
262,24,2,0,1603,0,4,4,0,0,4,0,55,0,0,2,1,1
263,18,4,0,5302,0,4,2,0,0,4,0,36,0,0,3,1,1
264,12,4,1,2748,0,4,2,0,0,4,0,57,1,0,1,1,1
265,10,4,0,1231,0,4,3,0,0,4,1,32,0,0,1,2,1
266,15,2,0,802,0,4,4,0,0,3,0,37,0,0,2,2,0
267,36,4,0,6304,4,4,4,0,0,4,1,36,0,0,2,1,1
268,24,2,0,1533,0,1,4,0,0,3,0,38,1,0,2,1,1
269,14,2,0,8978,0,4,1,0,0,4,0,45,0,0,3,1,0
270,24,2,0,999,4,4,4,0,0,2,0,25,0,0,2,1,1
271,18,2,0,2662,4,3,4,0,0,3,0,32,0,0,2,1,1
272,12,4,0,1402,2,3,3,0,0,4,0,37,0,1,2,1,1
273,48,1,0,12169,4,0,4,0,0,4,0,36,0,0,3,1,1
274,48,2,0,3060,0,3,4,0,0,4,1,28,0,0,2,1,0
275,30,2,0,11998,0,1,1,0,0,1,0,34,0,0,1,1,0
276,9,2,0,2697,0,2,1,0,0,2,1,32,0,0,2,2,1
277,18,4,0,2404,0,2,2,0,0,2,0,26,0,0,2,1,1
278,12,2,0,1262,4,4,2,0,0,4,0,49,0,0,1,1,1
279,6,2,0,4611,0,1,1,0,0,4,0,32,0,0,2,1,0
280,24,2,0,1901,1,2,4,0,0,4,0,29,0,1,3,1,1
281,15,4,0,3368,3,4,3,0,0,4,0,23,0,1,2,1,1
282,12,2,0,1574,0,2,4,0,0,2,1,50,0,0,2,1,1
283,18,1,0,1445,4,3,4,0,0,4,0,49,1,0,1,1,1
284,15,4,0,1520,4,4,4,0,0,4,0,63,0,0,2,1,1
285,24,4,0,3878,1,1,4,0,0,2,0,37,0,0,2,1,1
286,47,2,0,10722,0,1,1,0,0,1,1,35,0,0,1,1,1
287,48,2,0,4788,0,3,4,0,0,3,0,26,0,0,2,2,1
288,48,3,0,7582,1,0,2,0,0,4,0,31,0,0,3,1,1
289,12,2,0,1092,0,2,4,0,1,4,1,49,0,0,2,1,1
290,24,3,0,1024,0,1,4,1,0,4,1,48,1,0,2,1,0
291,12,2,0,1076,0,2,2,1,0,2,1,26,0,0,2,1,1
292,36,2,0,9398,0,1,1,1,0,4,0,28,0,1,3,1,0
293,24,4,0,6419,0,4,2,0,0,4,0,44,0,0,3,2,1
294,42,4,0,4796,0,4,4,0,0,4,0,56,0,0,2,1,1
295,48,4,0,7629,4,4,4,0,0,2,0,46,1,0,3,2,1
296,48,2,0,9960,0,1,1,0,0,2,0,26,0,0,2,1,0
297,12,2,0,4675,4,1,1,0,0,4,0,20,0,1,2,1,1
298,10,2,0,1287,4,4,4,0,0,2,0,45,0,0,1,1,1
299,18,2,0,2515,0,2,3,0,0,4,1,43,0,0,2,1,1
300,21,4,0,2745,3,3,3,0,0,2,0,32,0,0,2,1,1
